,text,Food Probability,Place Probability,Service Probability,Topic
0,But the staff was so horrible to us.,0.645353,0.17199768,0.18264931,Food
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",0.10170357,0.8045436,0.09375286,Place
2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",0.4385306,0.057822976,0.50364643,Service
3,Where Gabriela personaly greets you and recommends you what to eat.,0.6555736,0.1730168,0.17140956,Food
4,"For those that go once and don't enjoy it, all I can say is that they just don't get it.",0.6528515,0.17589349,0.17125499,Food
5,"Not only was the food outstanding, but the little 'perks' were great.",0.099115856,0.73502153,0.16586262,Place
6,It is very overpriced and not very tasty.,0.6456262,0.17838544,0.1759884,Food
7,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,0.670486,0.25593746,0.07357662,Food
8,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",0.1200706,0.48435426,0.39557514,Place
9,Nevertheless the food itself is pretty good.,0.3663574,0.5360522,0.09759045,Place
10,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",0.1173584,0.08556706,0.79707456,Service
11,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",0.8873635,0.06484693,0.04778963,Food
12,The design and atmosphere is just as good.,0.116142206,0.7669153,0.11694244,Place
13,He has visited Thailand and is quite expert on the cuisine.,0.099685535,0.79713917,0.103175275,Place
14,I would definitely recommend Mary's and am making it one of my regular neighborhood haunts.,0.41930097,0.25946972,0.3212293,Food
15,The pizza is the best if you like thin crusted pizza.,0.8349679,0.0755401,0.08949201,Food
16,My Girlfriend and I stumbled onto this hopping place the other night and had a great time!,0.07700091,0.8330825,0.08991663,Place
17,"He can't help, they're bought up so fast.",0.11376915,0.12705466,0.7591762,Service
18,"Secondly, on this night the place was overwhelmed by upper east side ladies perfume.",0.076694645,0.4237895,0.49951583,Service
19,"i have eaten here a handful of times, for no reason besides sheer convenience.",0.1348783,0.10450483,0.7606169,Service
20,Obviously run by folks who know a pie.,0.17242135,0.17664658,0.6509321,Service
21,We were very disappointed.,0.19339706,0.1927693,0.61383367,Service
22,IT IS DEFINITELY SPECIAL AND AFFORDABLE.,0.4071643,0.12963755,0.46319818,Service
23,I really liked this place.,0.089032166,0.80054224,0.11042559,Place
24,I will be going back very soon.,0.13591434,0.114353366,0.7497323,Service
25,"All the money went into the interior decoration, none of it went to the chefs.",0.8622383,0.07347717,0.06428454,Food
26,The seats are uncomfortable if you are sitting against the wall on wooden benches.,0.18366882,0.64588517,0.170446,Place
27,"I asked for seltzer with lime, no ice.",0.65104985,0.1807211,0.16822909,Food
28,It was pretty inexpensive too.,0.6443518,0.17128274,0.18436554,Food
29,Will not be back.,0.1783062,0.17116733,0.65052646,Service
30,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",0.5931817,0.31879976,0.08801852,Food
31,My suggestion is to eat family style because you'll want to try the other dishes.,0.35049167,0.5630043,0.086504,Place
32,"Best of all is the warm vibe, the owner is super friendly and service is fast.",0.052777387,0.8048116,0.14241102,Place
33,This isn't a value joint.,0.16957597,0.655265,0.17515905,Place
34,Faan's got a great concept but a little rough on the delivery.,0.09061992,0.09876751,0.81061256,Service
35,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",0.038624752,0.9220976,0.039277606,Place
36,"Great food at REASONABLE prices, makes for an evening that can't be beat!",0.5427248,0.09641964,0.36085552,Food
37,Look foward to trying the Ruben upon returning.,0.1830343,0.08929657,0.7276691,Service
38,The only other steakhouse that seems to hold a candle to Roth's is the Strip House.,0.27112126,0.5771814,0.15169732,Place
39,We usually go to the Chart House to celebrate a birthday or anniversary.,0.12992118,0.75442153,0.11565723,Place
40,this little place has a cute interior decor and affordable city prices.,0.17071152,0.06659066,0.7626978,Service
41,You'll adore it.,0.33333334,0.33333334,0.33333334,Food
42,Two words: Free wine.,0.17377955,0.65637213,0.16984835,Place
43,The price is reasonable although the service is poor.,0.08347181,0.08836262,0.82816553,Service
44,"The quantity is also very good, you will come out satisfied.",0.31789857,0.5913105,0.09079098,Place
45,I have been to Roth's twice and both times were very disappointing.,0.12072856,0.12207416,0.7571973,Service
46,Worth visiting the 1st Ave spot because it is the original store.,0.08879743,0.40285954,0.50834304,Service
47,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",0.78754616,0.069047384,0.1434065,Food
48,"Raga's is a romantic, cozy restaurant.",0.76040465,0.123845436,0.1157499,Food
49,The fried rice is amazing here.,0.0891777,0.80045044,0.11037192,Place
50,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",0.5292203,0.43252522,0.038254533,Food
