text,aspectTerms/aspectTerm/0/_term,aspectTerms/aspectTerm/0/_polarity,aspectTerms/aspectTerm/0/_from,aspectTerms/aspectTerm/0/_to,aspectCategories/aspectCategory/0/_category,aspectCategories/aspectCategory/0/_polarity,_id,aspectCategories/aspectCategory/1/_category,aspectCategories/aspectCategory/1/_polarity,aspectTerms/aspectTerm/1/_term,aspectTerms/aspectTerm/1/_polarity,aspectTerms/aspectTerm/1/_from,aspectTerms/aspectTerm/1/_to,aspectTerms/aspectTerm/2/_term,aspectTerms/aspectTerm/2/_polarity,aspectTerms/aspectTerm/2/_from,aspectTerms/aspectTerm/2/_to,aspectTerms/aspectTerm/3/_term,aspectTerms/aspectTerm/3/_polarity,aspectTerms/aspectTerm/3/_from,aspectTerms/aspectTerm/3/_to,aspectTerms/aspectTerm/4/_term,aspectTerms/aspectTerm/4/_polarity,aspectTerms/aspectTerm/4/_from,aspectTerms/aspectTerm/4/_to,aspectTerms/aspectTerm/5/_term,aspectTerms/aspectTerm/5/_polarity,aspectTerms/aspectTerm/5/_from,aspectTerms/aspectTerm/5/_to,aspectTerms/aspectTerm/6/_term,aspectTerms/aspectTerm/6/_polarity,aspectTerms/aspectTerm/6/_from,aspectTerms/aspectTerm/6/_to,aspectCategories/aspectCategory/2/_category,aspectCategories/aspectCategory/2/_polarity,aspectTerms/aspectTerm/7/_term,aspectTerms/aspectTerm/7/_polarity,aspectTerms/aspectTerm/7/_from,aspectTerms/aspectTerm/7/_to,aspectCategories/aspectCategory/3/_category,aspectCategories/aspectCategory/3/_polarity,aspectTerms/aspectTerm/8/_term,aspectTerms/aspectTerm/8/_polarity,aspectTerms/aspectTerm/8/_from,aspectTerms/aspectTerm/8/_to
But the staff was so horrible to us.,staff,negative,8,13,service,negative,3121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,positive,57,61,food,positive,2777,anecdotes/miscellaneous,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,positive,4,8,food,positive,1634,,,kitchen,positive,55,62,menu,neutral,141,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where Gabriela personaly greets you and recommends you what to eat.,,,,,service,positive,2534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For those that go once and don't enjoy it, all I can say is that they just don't get it.",,,,,anecdotes/miscellaneous,positive,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Not only was the food outstanding, but the little 'perks' were great.",food,positive,17,21,food,positive,2846,service,positive,perks,positive,51,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is very overpriced and not very tasty.,,,,,food,negative,1571,price,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,positive,27,62,food,positive,1458,service,positive,waiters,positive,76,83,meats,neutral,152,157,dish,neutral,113,117,,,,,,,,,,,,,,,,,,,,,,,,
"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,positive,4,10,food,positive,3161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevertheless the food itself is pretty good.,food,positive,17,21,food,positive,2391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
